"id","academic_year_id/id","amenities_ids","class_id/id","display","faculty_id/id","create_uid/id","create_date","division_id/id","write_uid/id","write_date","actual_strength","class_room/id","section_id/id"
"__export__.education_class_division_1","__export__.education_academic_year_1_19e0b085","","__export__.education_class_1_d1a78863","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_2","__export__.education_academic_year_1_19e0b085","","__export__.education_class_1_d1a78863","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_3","__export__.education_academic_year_1_19e0b085","","__export__.education_class_1_d1a78863","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section3"
"__export__.education_class_division_4","__export__.education_academic_year_1_19e0b085","","__export__.education_class_2_8a4446be","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_5","__export__.education_academic_year_1_19e0b085","","__export__.education_class_2_8a4446be","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_6","__export__.education_academic_year_1_19e0b085","","__export__.education_class_2_8a4446be","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section3"
"__export__.education_class_division_7","__export__.education_academic_year_1_19e0b085","","__export__.education_class_3_710c85ee","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_8","__export__.education_academic_year_1_19e0b085","","__export__.education_class_3_710c85ee","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_9","__export__.education_academic_year_1_19e0b085","","__export__.education_class_3_710c85ee","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section3"
"__export__.education_class_division_10","__export__.education_academic_year_1_19e0b085","","__export__.education_class_4_0614aa18","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_11","__export__.education_academic_year_1_19e0b085","","__export__.education_class_4_0614aa18","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_12","__export__.education_academic_year_1_19e0b085","","__export__.education_class_5_3d299d3a","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_13","__export__.education_academic_year_1_19e0b085","","__export__.education_class_5_3d299d3a","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_14","__export__.education_academic_year_1_19e0b085","","__export__.education_class_6_83de9d6c","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_15","__export__.education_academic_year_1_19e0b085","","__export__.education_class_6_83de9d6c","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_16","__export__.education_academic_year_1_19e0b085","","__export__.education_class_7_18380dde","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_17","__export__.education_academic_year_1_19e0b085","","__export__.education_class_7_18380dde","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_18","__export__.education_academic_year_1_19e0b085","","__export__.education_class_8_6ebe08db","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_19","__export__.education_academic_year_1_19e0b085","","__export__.education_class_8_6ebe08db","","","base.user_root","2019-02-12 08:51:35","","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
